NAME,DATUM,DAUER,WO,KATEGORIE,GENRES,STADT,BESUCHER,PREIS(AB),
M4MUSIC FESTIVAL,22.03. - 24.03.,3 Tage,drinnen,Gemischte Festivals,"Electro, Hip-Hop, Jazz, Kunst & Kultur, Pop, Reggae, Rock, Sonstiges",Zürich,900,€ 45.00,
BLUES FESTIVAL BASEL,17.04. - 21.04.,5 Tage,drinnen,Blues Festivals,Blues,Basel,keine Daten,n.v.,
GREENFIELD FESTIVAL,13.06. - 15.06.,3 Tage,draußen,Rock Festivals,Rock,Matten bei Interlaken,72000,€ 214.85,
JAZZ ASCONA FESTIVAL,22.06. - 29.06.,8 Tage,draußen,Jazz Festivals,"Afrika, Funk, Jazz",Ascona,keine Daten,n.v.,
TRUCKER & COUNTRY FESTIVAL SCHWEIZ,28.06. - 30.06.,3 Tage,draußen,Country Festivals,Country,Interlaken,keine Daten,€ 103.00,  
BODMER OPEN AIR,05.07. - 07.07.,3 Tage,draußen,Gemischte Festivals,"Dance, Disco, Folk, Pop, Punk, Rock, Ska",Visperterminen,1500,n.v.,
KLEINSTADT OPEN AIR WALENSTADT,05.07. - 07.07.,3 Tage,draußen,Pop Festivals,"Pop, Rock",Walenstadt,1500,€ 123.00,  
OPEN AIR FRAUENFELD,11.07. - 13.07.,3 Tage,draußen,Hip-Hop Festivals,Hip-Hop,Frauenfeld,185000,€ 258.00,
GURTENFESTIVAL,17.07. - 20.07.,4 Tage,draußen,Gemischte Festivals,"Electro, Hip-Hop, Pop, Rock",Wabern-Bern,78000,n.v.,  
OPEN AIR LUMNEZIA,25.07. - 27.07.,3 Tage,draußen,Gemischte Festivals,"Hip-Hop, Metal, Pop, Rock",Degen,18000,n.v.,
ROTTÄ ROCK FÄSCHT,26.07. - 27.07.,2 Tage,draußen,Metal Festivals,"Metal, Punk, Rock",Ulrichen,keine Daten,€ 99.00,
BUSKERS BERN,08.08. - 10.08.,3 Tage,draußen,Gemischte Festivals,"Afrika, Blues, Comedy, Dance, Deutschrock, Electro, Folk, Hip-Hop, Irish, Jazz, Klassik, Kunst & Kultur, Pop, Punk, Reggae, Rock, Volksmusik",Bern,60000,n.v.,
SUMMERDAYS FESTIVAL,30.08. - 31.08.,2 Tage,draußen,Gemischte Festivals,"Pop, Rock, Sonstiges, Volksmusik",Arbon,24000,n.v.,